Timestamp,Age_Group,Clip,Pleasantness,Stability,Restlessness
4/14/2026 12:19:31,15-18,Random,9,5,7
4/14/2026 15:04:30,18+,Random,10,10,1
4/14/2026 15:12:21,18+,Random,9,9,4
4/14/2026 15:46:11,18+,Random,4,4,4
4/14/2026 19:00:39,15-18,Random,4,3,10
4/19/2026 22:40:46,15-18,Random,2,1,7
4/19/2026 22:43:05,15-18,Random,3,1,6
7/19/2026 13:17:39,15-18,Random,7,6,5
7/19/2026 13:19:35,15-18,Random,6,5,3
7/19/2026 13:19:55,15-18,Random,8,7,9
7/19/2026 13:29:31,15-18,Random,8,9,5
7/19/2026 14:15:52,15-18,Random,5,3,6
7/20/2026 15:54:12,15-18,Random,2,2,8
